title,Location,details,Price,Description
"
4 bedroom townhouse for sale in Ruiru
,
Breathtaking modern Maisonettes and Bungalows f ...
","
Kenyatta Road, Ruiru, Ruiru
","
4
","
KSh 11,550,000
","
Breathtaking modern Maisonettes and Bungalows f...
,
4 bedroom townhouse for sale in Ruiru
"
"
3 bedroom house for sale in Ongata Rongai
,
Very Beautiful 3 BR houses in Ongata Rongai
","
Ongata Rongai, Kajiado North
","
2500 m²
,
3
","
KSh 6,000,000
","
Very Beautiful 3 BR houses in Ongata Rongai
,
3 bedroom house for sale in Ongata Rongai
"
"
5 bedroom townhouse for sale in Lavington
,
Masterful Design! Lavington Five Bedroom Townho ...
","
Lavington, Dagoretti North
","
5
","
KSh 53,000,000
","
Masterful Design! Lavington Five Bedroom Townho...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom house for sale in Runda
,
Beautiful and specious four bedroom Stand-alone ...
","
Runda, Westlands
","
4
","
KSh 92,000,000
","
Beautiful and specious four bedroom Stand-alone...
,
4 bedroom house for sale in Runda
"
"
4 bedroom house for sale in Syokimau
,
Magnificently modern custom 5br house on sale_S ...
","
 N/A, N/A, Syokimau, Athi River
","
3600 ft²
,
4
","
KSh 39,500,000
","
Magnificently modern custom 5br house on sale_S...
,
4 bedroom house for sale in Syokimau
"
"
3 bedroom townhouse for sale in Gikambura
,
Three Bedroom All En Suite
","
Gikambura, Kikuyu
","
3
","
KSh 9,000,000
","
Three Bedroom All En Suite
,
3 bedroom townhouse for sale in Gikambura
"
"
5 bedroom villa for sale in Runda
,
VILLAS for SALE in RUNDA
","
Runda, Westlands
","
5
","
KSh 115,000,000
","
VILLAS for SALE in RUNDA
,
5 bedroom villa for sale in Runda
"
"
4 bedroom house for sale in Kahawa West
,
4brd kahawa west near jacaranda estate
","
Maziwa, Kahawa near jacaranda estate, Kahawa West, Roysambu
","
4
","
KSh 13,000,000
","
4brd kahawa west near jacaranda estate
,
4 bedroom house for sale in Kahawa West
"
"
2 bedroom house for sale in Dabaso
,
this is a test
","
3, Test street, Dabaso, Kilifi North
","
2000 m²
,
 2
","
KSh 6,000,000
","
this is a test
,
2 bedroom house for sale in Dabaso
"
"
5 bedroom townhouse for sale in Lavington
,
New 5bedrooms townhouses for sale in lavington.
","
lavington, lavington, Lavington, Dagoretti North
","
5
","
KSh 49,000,000
","
New 5bedrooms townhouses for sale in lavington.
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom villa for sale in Runda
,
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
","
Eliud Mathu Drive, Runda, Westlands
","
5
","
KSh 110,000,000
","
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
,
5 bedroom villa for sale in Runda
"
"
5 bedroom townhouse for sale in Lavington
,
A stylish and brand new 5 bedroom all en suite ...
","
Walk to Lavington Mall, Lavington, Dagoretti North
","
5
","
KSh 80,000,000
","
A stylish and brand new 5 bedroom all en suite...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
4 bedroom townhouse
","
Lavington, Dagoretti North
","
4
","
KSh 65,000,000
","
4 bedroom townhouse
,
4 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR ...
","
lavington green, lavington green, Lavington, Dagoretti North
","
4
","
KSh 60,000,000
","
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR...
,
 4 bedroom townhouse for sale in Lavington
"
"
7 bedroom house for sale in Embu East
,
Property for sale in Nembure,Embu.
","
Embu East, Embu East
","
1950 m²
,
7
","
KSh 60,000,000
","
Property for sale in Nembure,Embu.
,
7 bedroom house for sale in Embu East
 "
"
4 bedroom house for sale in Westlands Area
,
4 Bedroom Townhouse For Sale In Grevillea
","
Grevillea, Nairobi, Westlands Area, Westlands
","
4000 ft²
,
4
","
KSh 55,000,000
","
4 Bedroom Townhouse For Sale In Grevillea
,
4 bedroom house for sale in Westlands Area
"
"
4 bedroom house for sale in New Kitusuru
,
4 Bedroom All En-Suite House For Sale in New Ki ...
","
Eel Close, New Kitusuru, Westlands
","
2023 m²
,
4
","
KSh 65,000,000
","
4 Bedroom All En-Suite House For Sale in New Ki...
,
4 bedroom house for sale in New Kitusuru
"
"
6 bedroom house for sale in Watamu
,
6 bedroom house in Watamu Kilifi
","
Watamu, Kilifi North
","
6
","
KSh 45,000,000
","
6 bedroom house in Watamu Kilifi
,
6 bedroom house for sale in Watamu
"
"
4 bedroom house for sale in Parklands
,
Shiv Villas - Westlands
","
Parklands, Westlands
","
4
","
KSh 65,000,000
","
Shiv Villas - Westlands
,
 4 bedroom house for sale in Parklands
"
"
Furnished 3 bedroom villa for sale in Diani
,
3BEDROOM BEACH VILLA FOR SALE
","
Diani beach road, Diani, Msambweni
","
3
","
KSh 45,000,000
","
3BEDROOM BEACH VILLA FOR SALE
,
Furnished 3 bedroom villa for sale in Diani
"
"
4 bedroom townhouse for sale in Mountain View
,
4 Bedroom Maisonette For sale in Mountain View
","
Jacaranda, Mountain View, Mountain View, Westlands
","
155 m²
,
4
","
KSh 40,000,000
","
4 Bedroom Maisonette For sale in Mountain View
,
4 bedroom townhouse for sale in Mountain View
"
"
3 bedroom house for sale in Kitengela
,
3 Bedroom Bungalow For sSale in Kitengela-Yulos
","
Yukos Area, Namanga Road, Kitengela, Kajiado North
","
114 m²
,
3
","
KSh 5,600,000
","
3 Bedroom Bungalow For sSale in Kitengela-Yulos
,
3 bedroom house for sale in Kitengela
"
"
5 bedroom townhouse for sale in Naivasha East
,
5 Bedroom Maisonette for Sale in Naivasha- Kege ...
","
Kegen, Naivasha Kegen, Naivasha East, Naivasha
","
210 m²
,
5
","
KSh 20,000,000
","
5 Bedroom Maisonette for Sale in Naivasha- Kege...
,
5 bedroom townhouse for sale in Naivasha East
"
"
4 bedroom townhouse for sale in Ruiru
,
Breathtaking modern Maisonettes and Bungalows f ...
","
Kenyatta Road, Ruiru, Ruiru
","
4
","
KSh 11,550,000
","
Breathtaking modern Maisonettes and Bungalows f...
,
4 bedroom townhouse for sale in Ruiru
"
"
4 bedroom house for sale in Juja
,
Maisonettes for sale
","
Juja, Kiambu Constituency
","
4
","
KSh 11,500,000
","
Maisonettes for sale
,
4 bedroom house for sale in Juja
"
"
3 bedroom house for sale in Kitengela
,
3 Bedroom Bungalow on 1/4 Acre in Milimani For ...
","
KEBS Estate, Milimani, Kitengela, Kajiado North
","
3
","
KSh 7,500,000
","
3 Bedroom Bungalow on 1/4 Acre in Milimani For...
,
3 bedroom house for sale in Kitengela
"
"
4 bedroom house for sale in Nyali Area
,
4br Mansion In A Shared Compound On Sale Nyali ...
","
Beach road Nyali, Nyali Area, Nyali
","
3460 ft²
,
4
","
KSh 33,000,000
","
4br Mansion In A Shared Compound On Sale Nyali...
,
4 bedroom house for sale in Nyali Area
"
"
5 bedroom house for sale in Gigiri
,
5br standalone double-storey house for sale in ...
","
Daisy Lane, Gigiri, Westlands
","
5
","
KSh 150,000,000
","
5br standalone double-storey house for sale in...
,
5 bedroom house for sale in Gigiri
"
"
7 bedroom house for sale in Tigoni
,
Beautiful mansion for sale in Tigoni
","
Limuru Road, Tigoni, Limuru
","
7
","
KSh 225,000,000
","
Beautiful mansion for sale in Tigoni
,
7 bedroom house for sale in Tigoni
"
"
3 bedroom house for sale in Ongata Rongai
,
Very Beautiful 3 BR houses in Ongata Rongai
","
Ongata Rongai, Kajiado North
","
2500 m²
,
3
","
KSh 6,000,000
","
Very Beautiful 3 BR houses in Ongata Rongai
,
3 bedroom house for sale in Ongata Rongai
"
"
5 bedroom townhouse for sale in Lavington
,
Masterful Design! Lavington Five Bedroom Townho ...
","
Lavington, Dagoretti North
","
5
","
KSh 53,000,000
","
Masterful Design! Lavington Five Bedroom Townho...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom house for sale in Runda
,
Beautiful and specious four bedroom Stand-alone ...
","
Runda, Westlands
","
4
","
KSh 92,000,000
","
Beautiful and specious four bedroom Stand-alone...
,
4 bedroom house for sale in Runda
"
"
4 bedroom house for sale in Syokimau
,
Magnificently modern custom 5br house on sale_S ...
","
N/A, N/A, Syokimau, Athi River
","
3600 ft²
,
4
","
KSh 39,500,000
","
Magnificently modern custom 5br house on sale_S...
,
4 bedroom house for sale in Syokimau
"
"
3 bedroom townhouse for sale in Gikambura
,
Three Bedroom All En Suite
","
Gikambura, Kikuyu
","
3
","
KSh 9,000,000
","
Three Bedroom All En Suite
,
3 bedroom townhouse for sale in Gikambura
"
"
3 bedroom townhouse for sale in Mtwapa
,
3 bedroom medium villas on sale Mtwapa, kilifi ...
","
mtwapa, Mtwapa, Kilifi South
","
2085 ft²
,
 3
","
KSh 5,900,000
","
3 bedroom medium villas on sale Mtwapa, kilifi...
,
3 bedroom townhouse for sale in Mtwapa
"
"
5 bedroom house for sale in Ridgeways
,
5 BEDROOM, ALL ENSUITE+ DSQ- RIDGEWAYS
","
Kiambu road, Ridgeways, Ridgeways, Ridgeways
","
5
","
KSh 75,000,000
","
5 BEDROOM, ALL ENSUITE+ DSQ- RIDGEWAYS
,
5 bedroom house for sale in Ridgeways
"
"
4 bedroom house for sale in Loresho
,
A house for sale in Loresho
","
Mukabi Drive, Loresho, Westlands
","
4
","
KSh 70,000,000
","
A house for sale in Loresho
,
4 bedroom house for sale in Loresho
"
"
4 bedroom house for sale in Mountain View
,
Beautiful four bedroom house
","
Mountain view, Mountain View, Westlands
","
4
","
KSh 37,000,000
","
Beautiful four bedroom house
,
4 bedroom house for sale in Mountain View
"
"
4 bedroom house for sale in Diani
,
4 BEDROOM DIANI HOUSE FOR SALE
","
Diani beach road, Diani, Msambweni
","
4
","
KSh 30,000,000
","
4 BEDROOM DIANI HOUSE FOR SALE
,
4 bedroom house for sale in Diani
"
"
3 bedroom house for sale in Diani
,
UTANGE 3 BEDROOM HOUSE FOR SALE
","
Diani-beach road, Diani, Msambweni
","
3
","
KSh 6,500,000
","
UTANGE 3 BEDROOM HOUSE FOR SALE
,
3 bedroom house for sale in Diani
"
"
Furnished 2 bedroom house for sale in Diani
,
2 BEDROOM HOUSES(TWO) SAME COMPOUND FOR SALE
","
Diani-beach road, Diani-beach road, Diani, Msambweni
","
2
","
KSh 16,000,000
","
2 BEDROOM HOUSES(TWO) SAME COMPOUND FOR SALE
,
Furnished 2 bedroom house for sale in Diani
"
"
Furnished 3 bedroom villa for sale in Diani
,
3 Bedroom Diani beach Villa for Sale
","
Diani-beach road, Diani, Msambweni
","
3
","
KSh 26,500,000
","
3 Bedroom Diani beach Villa for Sale
,
Furnished 3 bedroom villa for sale in Diani
"
"
3 bedroom house for sale in Bamburi
,
3 BEDROOMS BUNGALOW ALL MASTER FOR SALE UTANGE
","
Old mombasa malindi road, Bamburi, Kisauni
","
3
","
KSh 6,000,000
","
3 BEDROOMS BUNGALOW ALL MASTER FOR SALE UTANGE
,
3 bedroom house for sale in Bamburi
"
"
5 bedroom villa for sale in Runda
,
VILLAS for SALE in RUNDA
","
Runda, Westlands
","
5
","
KSh 115,000,000
","
VILLAS for SALE in RUNDA
,
5 bedroom villa for sale in Runda
"
"
4 bedroom house for sale in Kahawa West
,
4brd kahawa west near jacaranda estate
","
Maziwa, Kahawa near jacaranda estate, Kahawa West, Roysambu
","
4
","
KSh 13,000,000
","
4brd kahawa west near jacaranda estate
,
4 bedroom house for sale in Kahawa West
"
"
2 bedroom house for sale in Dabaso
,
this is a test
","
3, Test street, Dabaso, Kilifi North
","
2000 m²
,
2
","
KSh 6,000,000
","
this is a test
,
2 bedroom house for sale in Dabaso
"
"
5 bedroom townhouse for sale in Lavington
,
New 5bedrooms townhouses for sale in lavington.
","
lavington, lavington, Lavington, Dagoretti North
","
5
","
KSh 49,000,000
","
New 5bedrooms townhouses for sale in lavington.
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom villa for sale in Runda
,
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
","
Eliud Mathu Drive, Runda, Westlands
","
5
","
KSh 110,000,000
","
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
,
5 bedroom villa for sale in Runda
"
"
3 bedroom house for sale in Ruaka
,
3 bedroom all ensuite bungalow
","
ndenderu, ndenderu, Ruaka, Kiambaa
","
3
","
KSh 7,500,000
","
3 bedroom all ensuite bungalow
,
3 bedroom house for sale in Ruaka
"
"
4 bedroom house for sale in Kilimani
,
4BEDROOM MASIONATTE WITH SQ IN KILIMANI
","
Kilimani, Dagoretti North
","
4
","
KSh 35,000,000
","
4BEDROOM MASIONATTE WITH SQ IN KILIMANI
,
4 bedroom house for sale in Kilimani
"
"
5 bedroom house for sale in Lavington
,
Elegant 5 bedrooms all en-suite house. Garden, ...
","
Lavington Green, Lavington, Dagoretti North
","
2833 m²
,
5
","
KSh 120,000,000
","
Elegant 5 bedrooms all en-suite house. Garden,...
,
5 bedroom house for sale in Lavington
"
"
4 bedroom house for sale in Nyali Area
,
4 bedroom villa
","
Nyali Area, Nyali
","
4
","
KSh 75,000,000
","
4 bedroom villa
,
4 bedroom house for sale in Nyali Area
"
"
5 bedroom townhouse for sale in Lavington
,
Lovely, New & Spacious 5 bedroom townhouse in l ...
","
Lavington, Dagoretti North
","
4046 m²
,
5
","
KSh 80,000,000
","
Lovely, New & Spacious 5 bedroom townhouse in l...
,
5 bedroom townhouse for sale in Lavington
"
"
7 bedroom house for sale in Runda
,
Executive 7 Bedroom House for sale in Runda
","
Runda, Westlands
","
2023 m²
,
7
","
KSh 120,000,000
","
Executive 7 Bedroom House for sale in Runda
,
7 bedroom house for sale in Runda
"
"
5 bedroom townhouse for sale in Lavington
,
A stylish and brand new 5 bedroom all en suite ...
","
Walk to Lavington Mall, Lavington, Dagoretti North
","
5
","
KSh 80,000,000
","
A stylish and brand new 5 bedroom all en suite...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
4 bedroom townhouse
","
 Lavington, Dagoretti North
","
4
","
KSh 65,000,000
","
4 bedroom townhouse
,
4 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR ...
","
lavington green, lavington green, Lavington, Dagoretti North
","
4
","
KSh 60,000,000
","
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR...
,
4 bedroom townhouse for sale in Lavington
"
"
7 bedroom house for sale in Embu East
,
Property for sale in Nembure,Embu.
","
Embu East, Embu East
","
1950 m²
,
7
","
KSh 60,000,000
","
Property for sale in Nembure,Embu.
,
7 bedroom house for sale in Embu East
"
"
4 bedroom house for sale in Westlands Area
,
4 Bedroom Townhouse For Sale In Grevillea
","
Grevillea, Nairobi, Westlands Area, Westlands
","
4000 ft²
,
4
","
KSh 55,000,000
","
4 Bedroom Townhouse For Sale In Grevillea
 ,
4 bedroom house for sale in Westlands Area
"
"
4 bedroom house for sale in New Kitusuru
,
4 Bedroom All En-Suite House For Sale in New Ki ...
","
Eel Close, New Kitusuru, Westlands
","
2023 m²
,
4
","
KSh 65,000,000
","
4 Bedroom All En-Suite House For Sale in New Ki...
,
4 bedroom house for sale in New Kitusuru
"
"
4 bedroom townhouse for sale in Loresho
,
Waterfront Gardens Estate – 4 bedroom townhouse ...
","
Waterfront Gardens, Loresho, Loresho, Westlands
","
174 m²
,
4
","
KSh 25,800,000
","
Waterfront Gardens Estate – 4 bedroom townhouse...
,
4 bedroom townhouse for sale in Loresho
"
"
5 bedroom house for sale in Lavington
,
5 Bed Townhouses For Sale in Lavington, Nairobi
","
Loiyangalani Drive, Lavington, Dagoretti North
","
604 m²
,
5
","
KSh 70,000,000
","
5 Bed Townhouses For Sale in Lavington, Nairobi
,
5 bedroom house for sale in Lavington
"
"
4 bedroom townhouse for sale in Westlands Area
,
4 Bedroom Townhouse For Sale in Grevillea Grove
","
Grevillea Grove., Westlands Area, Westlands
","
4
","
KSh 55,000,000
","
4 Bedroom Townhouse For Sale in Grevillea Grove
,
4 bedroom townhouse for sale in Westlands Area
"
"
5 bedroom townhouse for sale in Lavington
,
5 bedroom Modern Townhouses for Sale in Lavingt ...
","
Lavington, Dagoretti North
","
4758 ft²
,
5
","
KSh 74,000,000
","
5 bedroom Modern Townhouses for Sale in Lavingt...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom house for sale in Kiserian
,
Kiserian, Pipeline Road, Country Home on 6 acre ...
","
Kiserian, Kajiado North
","
4
","
KSh 65,000,000
","
Kiserian, Pipeline Road, Country Home on 6 acre...
,
4 bedroom house for sale in Kiserian
"
"
4 bedroom townhouse for sale in Rosslyn
,
4 Bedrooms Townhouse For Sale In Roslynn
","
Rosslyn, Westlands
","
44 m²
,
4
","
KSh 70,000,000
","
4 Bedrooms Townhouse For Sale In Roslynn
,
4 bedroom townhouse for sale in Rosslyn
"
"
4 bedroom townhouse for sale in Langata Area
,
4 Bedroom All Ensuite Townhouses With DSQ Townh ...
","
Langata Area, Langata
","
2650 ft²
,
4
","
KSh 31,000,000
","
4 Bedroom All Ensuite Townhouses With DSQ Townh...
,
4 bedroom townhouse for sale in Langata Area
"
"
4 bedroom house for sale in Karen
,
Bogani Park - House Type B
","
Bogani Road, Karen, Langata
","
543 m²
,
4
","
KSh 88,000,000
","
Bogani Park - House Type B
,
4 bedroom house for sale in Karen
"
"
4 bedroom house for sale in Lavington
,
Specious 4 bedrooms maisonette master en-suite ...
","
Mbaazi, Lavington, Dagoretti North
","
4
","
KSh 25,000,000
","
Specious 4 bedrooms maisonette master en-suite...
,
4 bedroom house for sale in Lavington
"
"
4 bedroom house for sale in Lavington
,
Extremely attractive 4 bedrooms corner townhous ...
","
Lavington Green, Lavington, Dagoretti North
","
4
","
KSh 59,800,000
","
Extremely attractive 4 bedrooms corner townhous...
,
4 bedroom house for sale in Lavington
"
"
4 bedroom house for sale in Lamu
,
4 bedroom house for sale in Kizingoni Beach, La ...
","
Shela Beach, Lamu, lamu
","
4
","
KSh 75,000,000
","
4 bedroom house for sale in Kizingoni Beach, La...
,
4 bedroom house for sale in Lamu
"
"
5 bedroom house for sale in Nyari
,
MANSION, NYARI ESTATE. 5 BEDROOM, ALL ENSUITE+ ...
","
Nyari, Nyari central, Nyari, Westlands
","
5
","
KSh 130,000,000
","
MANSION, NYARI ESTATE. 5 BEDROOM, ALL ENSUITE+...
,
5 bedroom house for sale in Nyari
"
"
4 bedroom townhouse for sale in Kileleshwa
,
lovely 4 bedroom and Dsq for sale in Kileleshwa
","
Kileleshwa, Dagoretti North
","
4
","
KSh 35,000,000
","
lovely 4 bedroom and Dsq for sale in Kileleshwa
,
4 bedroom townhouse for sale in Kileleshwa
"
"
7 bedroom house for sale in Lavington
,
5 & 7 Bedroom Standalone House On One Acre For ...
","
Manyani East, Manyani East Road, Lavington, Dagoretti North
","
7
","
KSh 100,000,000
","
5 & 7 Bedroom Standalone House On One Acre For...
,
7 bedroom house for sale in Lavington
"
"
5 bedroom townhouse for sale in Lavington
,
LAVINGTON 5 BEDROOM VILLAS IN A GATED ESTATE FO ...
 ","
Lavington, Dagoretti North
","
5
","
KSh 51,000,000
","
LAVINGTON 5 BEDROOM VILLAS IN A GATED ESTATE FO...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom villa for sale in Lavington
,
Modern Lavington Villas for Sale
","
Lavington, Dagoretti North
","
4
","
KSh 66,000,000
","
Modern Lavington Villas for Sale
,
4 bedroom villa for sale in Lavington
"
"
5 bedroom house for sale in Karen
,
KERARAPON,4 BEDROOM MASSIONATE STANDALONE WITH ...
","
Karen, Langata
","
5
","
KSh 43,000,000
 ","
KERARAPON,4 BEDROOM MASSIONATE STANDALONE WITH...
,
5 bedroom house for sale in Karen
"
"
4 bedroom townhouse for sale in Nyali Area
,
4 bedroom massionatte for sale
","
Nyali Area, Nyali
","
2024 m²
,
4
","
KSh 58,000,000
","
4 bedroom massionatte for sale
,
4 bedroom townhouse for sale in Nyali Area
"
"
4 bedroom house for sale in Karen
,
Elegant four bedroom house
","
murishu lane, Karen, Langata
","
2025 m²
,
4
","
KSh 80,000,000
","
Elegant four bedroom house
,
4 bedroom house for sale in Karen
"
"
4 bedroom house for sale in Nyali Area
,
4 Bedroom Masionette +SQ in Nyali
","
Nyali Area, Nyali
","
4
","
KSh 70,000,000
","
4 Bedroom Masionette +SQ in Nyali
,
4 bedroom house for sale in Nyali Area
"
"
4 bedroom house for sale in Ridgeways
,
4 Bedroom Bungalow Located in Ridgeways
","
Ridgeways, Ridgeways
","
4
","
KSh 55,000,000
","
4 Bedroom Bungalow Located in Ridgeways
,
4 bedroom house for sale in Ridgeways
"
"
5 bedroom townhouse for sale in Lavington
,
Exotic newly built 5 Bedrooms Townhouse for sal ...
","
Lavington, Dagoretti North
","
5
","
KSh 55,000,000
","
Exotic newly built 5 Bedrooms Townhouse for sal...
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom townhouse for sale in Lavington
,
Lavington, Kanjata Road, New Townhouses - FOR S ...
","
Kanjata Road, Lavington, Dagoretti North
","
5
","
KSh 75,000,000
","
Lavington, Kanjata Road, New Townhouses - FOR S...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom villa for sale in Ngong
,
Four bedroom Villas on sale In Ololua Ngong
","
Ngong town, Ololua, Ngong, Kajiado North
","
4
","
KSh 24,000,000
","
Four bedroom Villas on sale In Ololua Ngong
,
4 bedroom villa for sale in Ngong
"
"
4 bedroom townhouse for sale in Ngong
,
Four bedroom mansion for sale in Kibiko Ngong
","
KIBIKO, KIBIKO, Ngong, Kajiado North
","
4
","
KSh 28,000,000
","
Four bedroom mansion for sale in Kibiko Ngong
,
4 bedroom townhouse for sale in Ngong
"
"
4 bedroom house for sale in Ngong
,
Four bedroom Villas on sale In Ololua Ngong
","
Ngong, Kajiado North
","
4
","
KSh 24,000,000
","
Four bedroom Villas on sale In Ololua Ngong
,
 4 bedroom house for sale in Ngong
"
"
3 bedroom house for sale in Ngong
,
Affordable three bedrooms bungalow on sale in M ...
","
Matasia, Forest line, Ngong, Kajiado North
","
3
","
KSh 5,800,000
","
Affordable three bedrooms bungalow on sale in M...
,
3 bedroom house for sale in Ngong
"
"
4 bedroom townhouse for sale in Kangawa Zone
,
Four bedrooms mansion on sale In Vet Ngong
","
Kangangawa road, Vet, Kangawa Zone, Ngong
","
4
","
KSh 14,500,000
","
Four bedrooms mansion on sale In Vet Ngong
,
4 bedroom townhouse for sale in Kangawa Zone
"
"
5 bedroom house for sale in Karen
,
Lovely Karen Homes for Sale
","
Karen, Langata
","
5
","
KSh 105,000,000
","
Lovely Karen Homes for Sale
,
5 bedroom house for sale in Karen
"
"
7 bedroom house for sale in Diani
,
7 BEDROOM SEASIDE HOUSE FOR SALE IN GALU, DIANI
 ","
Diani, Msambweni
","
7
","
KSh 250,000,000
","
7 BEDROOM SEASIDE HOUSE FOR SALE IN GALU, DIANI
,
7 bedroom house for sale in Diani
"
"
5 bedroom townhouse for sale in Lavington
,
Prestigious Lavington Townhouses
","
Lavington, Dagoretti North
","
5
","
KSh 55,000,000
","
Prestigious Lavington Townhouses
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom house for sale in Syokimau
,
5 Bedroom ALL ensuite House + DSQ
","
Syokimau, Athi River
","
5
","
KSh 42,000,000
","
5 Bedroom ALL ensuite House + DSQ
,
5 bedroom house for sale in Syokimau
"
"
3 bedroom villa for sale in Kitengela
,
3 Bedroom bungalow + DSQ FOR SALE
","
Kitengela, Kajiado North
","
3
","
KSh 8,800,000
","
3 Bedroom bungalow + DSQ FOR SALE
,
3 bedroom villa for sale in Kitengela
"
"
4 bedroom house for sale in Watamu
,
4 Bedroom Beach Maisonette +SQ in Watamu
","
Watamu, Kilifi North
","
4
","
KSh 55,000,000
","
4 Bedroom Beach Maisonette +SQ in Watamu
,
4 bedroom house for sale in Watamu
"
"
5 bedroom house for sale in Bamburi
,
5 Bedroom Maisonette + SQ in Bamburi Mtambo
","
Mtambo, Bamburi, Kisauni
","
5
","
KSh 28,000,000
","
5 Bedroom Maisonette + SQ in Bamburi Mtambo
,
5 bedroom house for sale in Bamburi
"
"
5 bedroom house for sale in Malindi Town
,
5 BEDROOM BUNGALOW FOR SALE IN MALINDI
 ","
Malindi Town, Malindi
","
5
","
KSh 24,000,000
","
5 BEDROOM BUNGALOW FOR SALE IN MALINDI
,
5 bedroom house for sale in Malindi Town
"
"
4 bedroom villa for sale in vipingo
,
4br Executive Villa On Sale, Vipingo
","
vipingo, Kilifi North
","
4
","
KSh 67,000,000
","
4br Executive Villa On Sale, Vipingo
,
4 bedroom villa for sale in vipingo
"
"
4 bedroom house for sale in Mombasa Road
,
4 Bedroom Townhouses For SALE + DSQ all Ensuite
","
Mombasa Road, Mombasa Road
","
4
","
KSh 13,000,000
","
4 Bedroom Townhouses For SALE + DSQ all Ensuite
,
4 bedroom house for sale in Mombasa Road
"
"
4 bedroom townhouse for sale in Westlands Area
,
4 Bedroom Maisonette Raphta Road
","
Westlands Area, Westlands
","
4
","
KSh 38,000,000
","
4 Bedroom Maisonette Raphta Road
,
4 bedroom townhouse for sale in Westlands Area
"
"
5 bedroom townhouse for sale in Ruiru
,
5 bedroom Townhouse in Kamakis
","
Kamakis, Ruiru, Ruiru
","
5
","
KSh 18,000,000
","
5 bedroom Townhouse in Kamakis
,
5 bedroom townhouse for sale in Ruiru
"
"
4 bedroom house for sale in Nyali Area
,
4 Bedroom Maisonette +SQ in Nyali
","
Nyali Area, Nyali
","
500 m²
,
4
","
KSh 40,000,000
","
4 Bedroom Maisonette +SQ in Nyali
,
4 bedroom house for sale in Nyali Area
"
"
2 bedroom house for sale in Watamu
,
2 Bedroom Beach House + SQ on 3.75 acres in Wat ...
","
Watamu, Kilifi North
","
3 ac
,
2
","
KSh 45,000,000
","
2 Bedroom Beach House + SQ on 3.75 acres in Wat...
,
2 bedroom house for sale in Watamu
"
"
6 bedroom house for sale in Watamu
,
6 Bedroom House in Watamu Kilifi
","
Watamu, Kilifi North
","
6
","
KSh 45,000,000
","
6 Bedroom House in Watamu Kilifi
,
6 bedroom house for sale in Watamu
"
"
5 bedroom house for sale in Nyali Area
,
5 Bedroom Masionette +SQ in Nyali
","
Nyali Area, Nyali
","
5
","
KSh 70,000,000
","
5 Bedroom Masionette +SQ in Nyali
,
5 bedroom house for sale in Nyali Area
"
"
5 bedroom townhouse for sale in Kitengela
,
5 bedroom townhouse for sale in Kitengela
","
kitengela, Kitengela, Kajiado North
","
5
","
KSh 22,000,000
","
5 bedroom townhouse for sale in Kitengela
,
5 bedroom townhouse for sale in Kitengela
"
"
3 bedroom townhouse for sale in Kitengela
,
Exciting Three and Four Bedroom Townhouses For ...
","
3, Namanga road, Kitengela, Kajiado North
","
166 m²
,
3
","
KSh 9,500,000
","
Exciting Three and Four Bedroom Townhouses For...
,
3 bedroom townhouse for sale in Kitengela
"
"
5 bedroom house for sale in Karen
,
Palatial 5 Bedroom Villas for Sale in Karen
","
1, Bogani, Karen, Langata
","
2023 m²
,
5
","
KSh 80,000,000
","
Palatial 5 Bedroom Villas for Sale in Karen
,
5 bedroom house for sale in Karen
"
"
6 bedroom villa for sale in Diani
,
Lluxurious Villa on 6 acres in Diani
","
Diani, Msambweni
","
6
","
KSh 170,000,000
","
Lluxurious Villa on 6 acres in Diani
,
6 bedroom villa for sale in Diani
"
"
4 bedroom villa for sale in Nyali Area
,
4 Bedroom Maisonette +SQ in Nyali
","
Nyali Area, Nyali
","
4
","
KSh 40,000,000
","
4 Bedroom Maisonette +SQ in Nyali
,
4 bedroom villa for sale in Nyali Area
"
